key,text
BROTATO_ONLINE_PUBLIC_LOBBY_DIRECT_DESCRIPTION,不通过大厅，手动输入房主 IP 和端口，直接加入局域网房间。
BROTATO_ONLINE_PUBLIC_LOBBY_ADDRESS_LABEL,房主 IP
BROTATO_ONLINE_PUBLIC_LOBBY_PORT_LABEL,端口
BROTATO_ONLINE_PUBLIC_LOBBY_ADDRESS_HINT,例如 192.168.1.100
BROTATO_ONLINE_PUBLIC_LOBBY_PORT_HINT,默认 27462
BROTATO_ONLINE_PUBLIC_LOBBY_CANCEL,取消
BROTATO_ONLINE_STEAM_MAIN_MENU_ONLINE,创建大厅
BROTATO_ONLINE_STEAM_FRIEND_JOIN_TOGGLE,开启大厅
BROTATO_ONLINE_STEAM_INVITE_FRIEND,邀请好友
BROTATO_ONLINE_STEAM_CREATING,创建中
BROTATO_ONLINE_STEAM_RECREATE_LOBBY,重新创建大厅
BROTATO_ONLINE_STEAM_CREATE_LOBBY,创建大厅
BROTATO_ONLINE_STEAM_JOINING_OVERLAY_CLIENT,加入中…
BROTATO_ONLINE_STEAM_JOINING_OVERLAY_HOST,加入中…\n正在准备联机大厅
BROTATO_ONLINE_STEAM_RETURN_TO_LOBBY,返回大厅
BROTATO_ONLINE_STEAM_HOST_DISCONNECTED_TITLE,连接断开
BROTATO_ONLINE_STEAM_HOST_DISCONNECTED_MESSAGE,与主机的连接已断开，已返回主菜单。
BROTATO_ONLINE_STEAM_JOIN_FAILED_TITLE,加入大厅失败
BROTATO_ONLINE_STEAM_JOIN_FAILED_INVALID,大厅信息无效。
BROTATO_ONLINE_STEAM_JOIN_FAILED_STEAM_UNAVAILABLE,Steam 大厅服务不可用。
BROTATO_ONLINE_STEAM_JOIN_FAILED_LAN_UNAVAILABLE,无法连接局域网房主。
BROTATO_ONLINE_STEAM_JOIN_FAILED_ROOM_FULL,房间人数已满。
BROTATO_ONLINE_STEAM_JOIN_FAILED_PROTOCOL_MISMATCH,房主的协议或模组版本不兼容。
BROTATO_ONLINE_STEAM_LAN_ROOM_ACTIVE,局域网房间已开启
BROTATO_ONLINE_STEAM_JOIN_FAILED_TIMEOUT,加入大厅超时，请刷新大厅列表后重试。
BROTATO_ONLINE_STEAM_JOIN_FAILED_STALE,大厅已关闭或房主已经离开。
BROTATO_ONLINE_STEAM_JOIN_RESPONSE_2,大厅不存在或已经关闭。
BROTATO_ONLINE_STEAM_JOIN_RESPONSE_3,无权加入该大厅。房主可能已经关闭公开。
BROTATO_ONLINE_STEAM_JOIN_RESPONSE_4,大厅人数已满。
BROTATO_ONLINE_STEAM_JOIN_RESPONSE_5,Steam 在加入大厅时发生错误。
BROTATO_ONLINE_STEAM_JOIN_RESPONSE_6,你已被该大厅禁止加入。
BROTATO_ONLINE_STEAM_JOIN_RESPONSE_7,当前 Steam 账户无法加入该大厅。
BROTATO_ONLINE_STEAM_JOIN_RESPONSE_8,该大厅当前不可加入。
BROTATO_ONLINE_STEAM_JOIN_RESPONSE_9,Steam 社区限制导致无法加入。
BROTATO_ONLINE_STEAM_JOIN_RESPONSE_10,大厅中的玩家已屏蔽你。
BROTATO_ONLINE_STEAM_JOIN_RESPONSE_11,你屏蔽了大厅中的玩家。
BROTATO_ONLINE_STEAM_JOIN_RESPONSE_15,加入请求过于频繁，请稍后重试。
BROTATO_ONLINE_STEAM_JOIN_RESPONSE_UNKNOWN,无法加入大厅（Steam 返回码：%d）。
BROTATO_ONLINE_STEAM_STATUS_CREATING_STEAM,正在创建 Steam 大厅…
BROTATO_ONLINE_STEAM_STATUS_PREPARING,正在准备联机大厅…
BROTATO_ONLINE_STEAM_STATUS_CLOSE_AFTER_CREATION,大厅创建后将关闭
BROTATO_ONLINE_STEAM_STATUS_OPEN,大厅已开启，可邀请好友加入 %d/%d
BROTATO_ONLINE_STEAM_STATUS_AUTO_PLAYER_ONE_OFF,自动 1 号位已关闭：房主必须先选完输入设备，其他人再进
BROTATO_ONLINE_STEAM_STATUS_FAILED_STEAM_NOT_READY,大厅创建失败：Steam 未就绪
BROTATO_ONLINE_STEAM_STATUS_FAILED_API_UNAVAILABLE,大厅创建失败：当前 Steam 接口不支持
BROTATO_ONLINE_STEAM_STATUS_FAILED_CODE,大厅创建失败，错误码 %d
BROTATO_ONLINE_STEAM_STATUS_CLOSED,未开启大厅
